,DOI,Sample_ID,Location,Countries,Source,Concentration,Concentration_Units,Approximate_Latitude,Approximate_Longitude,Sample_device_and_deployment_methods,Digestion,Filtration,Filter_Size,Microplastic_Identification_Method,Spectral_Analysis,Controls
0,10.1016/j.watres.2017.11.011,1|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,14,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
1,10.1016/j.watres.2017.11.011,2|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,118,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
2,10.1016/j.watres.2017.11.011,3|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,50,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
3,10.1016/j.watres.2017.11.011,4|10.1016/j.watres.2017.11.011,Germany,Germany,bottled water,11,particles/L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,polycarbonate filter,3 um,"Single Particle Explorer (SPE, rapID, Berlin)",Raman,Blank filters run through Raman
4,10.1039/c6ay01184e,1|10.1039/c6ay01184e,Germany,Germany,bottled water,19-Oct,particles/0.33 L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,Cellulose nitrate,0.45 um,Raman scattering spectroscopy,Raman,Already analyzes sample filtered a second time and analyzed again; additional moistened filter placed in laminar flow box during filtration
5,10.1039/c6ay01184e,2|10.1039/c6ay01184e,Germany,Germany,bottled water,1,particles/0.33 L,51.1638175,10.4478313,Pre packaged bevarage cartons,Not Provided,Cellulose nitrate,0.45 um,Raman scattering spectroscopy,Raman,Already analyzes sample filtered a second time and analyzed again; additional moistened filter placed in laminar flow box during filtration
6,10.3389/fchem.2018.00407,IB|101119.10.3389/fchem.2018.00407,"Jakarta, Indonesia",Indonesia,bottled water,37.1,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
7,10.3389/fchem.2018.00407,BB 311019 08: 11 PSRL6|10.3389/fchem.2018.00407,"Bali, Indonesia",Indonesia,bottled water,705,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
8,10.3389/fchem.2018.00407,BB 311019 09: 50 STB1|10.3389/fchem.2018.00407,"Medan, Indonesia",Indonesia,bottled water,404,particles/L,-2.4833826,117.8902853,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
9,10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,,,bottled water,252,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
10,10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,174,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
11,10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,"Chennai, India",India,bottled water,826,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
12,10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,"Mumbai, India",India,bottled water,213,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
13,10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,"New Delhi, India",India,bottled water,3.72,particles/L,22.3511148,78.6677428,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
14,10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,,,bottled water,165,particles/L,,,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
15,10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,"Nairobi, Kenya",Kenya,bottled water,74.6,particles/L,1.4419683,38.4313975,Pre packaged bevarage cartons,Not Provided,Glass fiber,1.5 um,Nile red; visual,FTIR,DI procedural blanks
